"","KeyCount","RebalanceActive","MaxFixedCache2BranchLength","RebalancingMode","Cache1Items","Cache2Items","Cache2ItemsGone","AvgTime"
"1374",3500,TRUE,16,"Heavy",157.5,2828,107.25,2.75
"1375",3500,TRUE,16,"Mixed",161.25,2811.25,165.25,3
"1376",3500,FALSE,16,"None",288.75,2578.25,1112.25,4.5
"1377",3500,TRUE,17,"Light",269.75,2646.25,779.75,4
"1378",3500,TRUE,17,"Heavy",177.5,2824,208,3
"1379",3500,TRUE,17,"Mixed",148.5,2835.25,56,2.25
"1380",3500,FALSE,17,"None",219,2688.5,566.75,3.75
"1381",500,TRUE,13,"Light",30.75,399.75,106.75,3.75
"1382",500,TRUE,13,"Heavy",20.75,420.75,0.25,2.25
"1383",500,TRUE,13,"Mixed",21,420.25,0.5,2.25
"1384",500,FALSE,13,"None",23.75,413.5,13.75,2.5
"1385",500,TRUE,14,"Light",32,397.25,97,4
"1386",500,TRUE,14,"Heavy",23.5,413.25,8.75,2.25
"1387",500,TRUE,14,"Mixed",22.25,416.5,7.75,2.25
"1388",500,FALSE,14,"None",22,418.25,9.25,2
"1389",500,TRUE,15,"Light",28.5,405.25,18,2.5
"1390",500,TRUE,15,"Heavy",21.5,418.25,3.75,2.25
"1391",500,TRUE,15,"Mixed",21.75,418,5.75,2
"1392",500,FALSE,15,"None",19.75,417.25,4,1.75
"1393",500,TRUE,16,"Light",21.25,420,1,1.75
"1394",500,TRUE,16,"Heavy",21.75,419.25,1.25,1.75
"1395",500,TRUE,16,"Mixed",21.5,419.25,1.25,1.75
"1396",500,FALSE,16,"None",22.5,415,1,2
"1397",500,TRUE,17,"Light",20.75,420.75,0,2.25
"1398",500,TRUE,17,"Heavy",20.75,420.75,0,2.25
"1399",500,TRUE,17,"Mixed",20.75,420.75,0,2.25
"1400",500,FALSE,17,"None",21.75,415.25,0.5,2
"1401",500,TRUE,8,"Light",62,332.25,345.25,8.25
"1402",500,TRUE,8,"Heavy",57.5,350.5,324.5,7.75
"1403",500,TRUE,8,"Mixed",56.5,353.5,304.75,7
"1404",500,FALSE,8,"None",58.25,350.75,351.75,8
"1405",500,TRUE,9,"Light",56.5,348.5,285.5,7
"1406",500,TRUE,9,"Heavy",44.75,370.75,285,6.75
"1407",500,TRUE,9,"Mixed",36,391.75,177.5,5.5
"1408",500,FALSE,9,"None",43,361,137.5,4.75
"1409",500,TRUE,10,"Light",33.25,388,61.75,3.25
"1410",500,TRUE,10,"Heavy",28.5,406,57.25,3.25
"1411",4000,TRUE,8,"Light",558.5,2425.75,3690.5,10.25
"1412",4000,TRUE,8,"Heavy",591.75,2268.25,3937.25,11
"1413",4000,TRUE,8,"Mixed",493,2461.75,4062,11.5
"1414",4000,FALSE,8,"None",460.75,2541.5,4065.5,11.5
"1415",4000,TRUE,9,"Light",472.5,2513.75,3505,10
"1416",4000,TRUE,9,"Heavy",553,2401.25,3507,10.25
"1417",4000,TRUE,9,"Mixed",469.75,2618,3162.25,9.25
"1418",4000,FALSE,9,"None",532.75,2365.5,3447.75,9.5
"1419",4000,TRUE,10,"Light",434.75,2717.5,3412.5,9.75
"1420",4000,TRUE,10,"Heavy",506.25,2619,3101.5,8.75
"1421",4000,TRUE,10,"Mixed",525.5,2520,3071,8.75
"1422",4000,FALSE,10,"None",473.25,2624.25,3448,10
"1423",4000,TRUE,11,"Light",422,2742.5,3138.25,9.25
"1424",4000,TRUE,11,"Heavy",427,2716,2273.5,7
"1425",4000,TRUE,11,"Mixed",397.5,2675.75,2428.25,7.5
"1426",4000,FALSE,11,"None",429.25,2565.25,2847.75,8.75
"1427",4000,TRUE,12,"Light",447.25,2434.5,2816,7.75
"1428",4000,TRUE,12,"Heavy",364.25,2871,1597.75,5.75
"1429",4000,TRUE,12,"Mixed",354.75,2880.75,1642,5.75
"1430",4000,FALSE,12,"None",480.75,2439.5,3054.25,8.5
"1431",4000,TRUE,13,"Light",423.25,2627.25,2603.75,7.5
"1432",4000,TRUE,13,"Heavy",256,3255.5,1003.5,4
"1433",4000,TRUE,13,"Mixed",298.5,2994,1089,4.5
"1434",4000,FALSE,13,"None",408.25,3221.75,2200.5,7.25
"1435",4000,TRUE,14,"Light",379.5,2791.75,1933.25,6.25
"1436",4000,TRUE,14,"Heavy",236.25,3098.5,600,3.5
"1437",4000,TRUE,14,"Mixed",224.25,3171.75,662.75,3.75
"1438",4000,FALSE,14,"None",351.5,3350.5,1620.75,5.75
"1439",4000,TRUE,15,"Light",374.5,2840.25,1904.75,6.25
"1440",4000,TRUE,15,"Heavy",197.5,3242.5,359.75,3.25
"1441",4000,TRUE,15,"Mixed",238.5,3135,593,3.5
"1442",4000,FALSE,15,"None",369.75,2863.75,1712.25,5.75
"1443",4000,TRUE,16,"Light",385.75,2853.25,1807.75,6.5
"1444",4000,TRUE,16,"Heavy",224.5,3198,345.75,3
"1445",4000,TRUE,16,"Mixed",190,3245.25,149,2.75
"1446",4000,FALSE,16,"None",285.75,3048.75,840,4.25
"1447",4000,TRUE,17,"Light",355,2851.25,1769.5,5.75
"1448",4000,TRUE,17,"Heavy",184.25,3247.5,91.25,2.75
"1449",4000,TRUE,17,"Mixed",184.25,3235.75,245,2.75
"1450",4000,FALSE,17,"None",256,3092.75,858.5,3.75
"1451",4000,TRUE,8,"Light",311.5,2370.5,3810.25,10.5
"1452",4000,TRUE,8,"Heavy",422.75,2446.75,4595.25,13.5
"1453",4000,TRUE,8,"Mixed",476,2310.75,4210,12.75
"1454",4000,FALSE,8,"None",412.5,2458.5,3680,10.75
"1455",4000,TRUE,9,"Light",529,2612,3663.5,10
"1456",4000,TRUE,9,"Heavy",439.5,2679.5,3229.5,9.75
"1457",4000,TRUE,9,"Mixed",486.25,2606.5,3487,10
"1458",4000,FALSE,9,"None",432,3053.5,3468.25,10
"1459",4000,TRUE,10,"Light",479.5,2528.75,3533.5,10.5
"1460",4000,TRUE,10,"Heavy",458.25,2464.25,2847,8.75
"1461",4000,TRUE,10,"Mixed",463.25,2660.75,3221,9.25
"1462",4000,FALSE,10,"None",551.25,2459.75,3416.75,9.5
"1463",4000,TRUE,11,"Light",433.75,2691.75,3113.5,9
"1464",4000,TRUE,11,"Heavy",365.75,2818.75,2323.5,7.25
"1465",4000,TRUE,11,"Mixed",386.5,2834,2247,7.5
"1466",4000,FALSE,11,"None",487,2485.75,2959.25,8.5
"1467",4000,TRUE,12,"Light",360.25,2358.75,3210.5,9
"1468",4000,TRUE,12,"Heavy",362.75,2822.25,1769.75,5.75
"1469",4000,TRUE,12,"Mixed",369.5,2868.25,1614,5.75
"1470",4000,FALSE,12,"None",430,2792.5,2553,7.25
"1471",4000,TRUE,13,"Light",416.5,2809.75,2479.75,7.5
"1472",4000,TRUE,13,"Heavy",303,2985.75,1102.25,4.75
"1473",4000,TRUE,13,"Mixed",273.5,2941.25,1252.75,4.5
